mls_listing_number,address,list_price,total_bedrooms,total_bathrooms,total_square_feet,property_type,architecture_style,neighborhood_name,school_district_name,elementary_school_name,middle_school_name,high_school_name,listing_description,views
SF822652,"613 Divisadero St #7C, San Francisco, CA",1975000,2,2.5,1150,Townhouse,Contemporary,Marina,San Francisco Unified School District,Winfield Scott Elementary,Marina Middle School,Galileo High School,"Exceptional end-unit Contemporary townhouse in the heart of Marina. 2 bedrooms, 2.5 baths, 1,150 sq ft. Designed for modern living with chef's kitchen with Carrara marble countertops and stainless appliances, open-plan great room, and a private rear garden. Generous primary suite with ensuite bath and custom built-ins. Ev-ready garage, in-unit laundry closet, smart home features throughout. Enjoy breathtaking bay views from the living areas and primary suite. Walk to Marina's acclaimed restaurants, parks, and Muni.",Bay View
SF963989,"1328 Brompton Ave #4, San Francisco, CA",1525000,3,4.0,1950,Single Family,Contemporary,Glen Park,San Francisco Unified School District,Glen Park Elementary,Aptos Middle School,Mission High School,"Rare opportunity to own a meticulously restored Contemporary in Glen Park. This 3-bed, 4.0-bath home (1,950 sq ft) balances period character with modern updates. The updated kitchen with gas range and subway tile backsplash leads to a shared roof deck with panoramic views, ideal for entertaining. Upstairs, the bright and airy primary bedroom features vaulted ceilings. Original hardwood floors throughout. 1-car garage and dedicated laundry room. Enjoy breathtaking garden views from the living areas and primary suite. Glen Park is celebrated for tucked-away village with canyon trails and strong neighborhood identity — this home delivers it all.",Garden View
SF235666,"3742 22nd St, San Francisco, CA",975000,1,1.0,600,Condo,High-Rise,Dogpatch,San Francisco Unified School District,Daniel Webster Elementary,Hoover Middle School,City Arts & Tech High School,"Welcome to unit #22A — a sun-drenched 1BD/1.0BA residence in one of Dogpatch's most desirable buildings. At 600 sq ft, this high-rise condo offers gourmet kitchen with waterfall island and wine refrigerator, custom built-ins, and wide-plank white oak floors. Amenities include bike storage and package room. Washer/dryer hookups, EV-ready garage.",None
SF427038,"1971 Italy Ave #4B, San Francisco, CA",2225000,3,3.0,3650,Single Family,Spanish Colonial,Excelsior,San Francisco Unified School District,Guadalupe Elementary,Hoover Middle School,Balboa High School,"Exceptional Spanish Colonial 3BD/3.0BA in coveted Excelsior. Spanning 3,650 sq ft, this sun-drenched home features designer kitchen with integrated appliances and pantry, gleaming hardwood floors, and an expansive yard. The spacious primary suite offers an ensuite bath with soaking tub. Additional highlights: in-unit laundry closet, 2-car garage, formal dining room, and a statement fireplace in the living room. Situated on a sunny corner lot in Excelsior — diverse, working-class neighborhood with authentic global cuisine.",None
SF156295,"2054 Evans Ave, San Francisco, CA",1875000,3,4.0,4150,Multi Family,Victorian,Bayview,San Francisco Unified School District,Martin Luther King Jr. Elementary,Martin Luther King Jr. Middle School,Thurgood Marshall High School,"Investor special or perfect for multigenerational living — a fully updated Victorian duplex in sought-after Bayview. 3 bedrooms and 4.0 baths across 4,150 sq ft. Both units feature modern kitchens, hardwood floors, and separate entrances. Deeded parking, separate utilities, and a generous garage with storage. Trophy Bayview address with strong cap rate potential. Enjoy breathtaking bay views from the living areas and primary suite.",Bay View
SF424695,"1659 King St, San Francisco, CA",525000,1,1.0,1400,Condo,High-Rise,SOMA,San Francisco Unified School District,Bessie Carmichael Elementary,Francisco Middle School,City Arts & Tech High School,"Welcome to unit #17C — a sun-drenched 1BD/1.0BA residence in one of SOMA's most desirable buildings. At 1,400 sq ft, this high-rise condo offers fully remodeled kitchen with custom cabinetry and quartz countertops, custom built-ins, and heated tile floors. Amenities include a fitness center and concierge. Washer/dryer hookups, deeded parking. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF697604,"2234 Clay St, San Francisco, CA",775000,2,2.5,1250,Condo,Contemporary,Nob Hill,San Francisco Unified School District,Garfield Elementary,Francisco Middle School,City Arts & Tech High School,"Modern living in the vibrant Nob Hill neighborhood. This sleek 2BD/2.5BA contemporary condo (1,250 sq ft) features fully remodeled kitchen with custom cabinetry and quartz countertops, Bosch appliances, and a landscaped patio. Naturally lit throughout with oversized windows flooding rooms with natural light. Building features concierge, fitness center, and guest suite. Dedicated laundry room and EV-ready garage included. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF861096,"2986 Noe St #12B, San Francisco, CA",2475000,4,4.0,2150,Multi Family,Mid-Century Modern,Castro,San Francisco Unified School District,Sanchez Elementary,Everett Middle School,Mission High School,"Investor special or perfect for multigenerational living — a fully updated Mid-Century Modern triplex in sought-after Castro. 4 bedrooms and 4.0 baths across 2,150 sq ft. Both units feature in-unit laundry, updated kitchens, and separate meters. 1-car garage, separate utilities, and a large shared yard. Trophy Castro address with strong cap rate potential. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF193636,"106 Surrey St, San Francisco, CA",2900000,4,5.0,2100,Single Family,Edwardian,Glen Park,San Francisco Unified School District,Sunnyside Elementary,Aptos Middle School,Mission High School,"Rare opportunity to own a meticulously restored Edwardian in Glen Park. This 4-bed, 5.0-bath home (2,100 sq ft) balances period character with modern updates. The fully remodeled kitchen with custom cabinetry and quartz countertops leads to a rooftop terrace, ideal for entertaining. Upstairs, the naturally lit primary bedroom features vaulted ceilings. Original fir floors throughout. Deeded parking and washer/dryer hookups. Enjoy breathtaking city views from the living areas and primary suite. Glen Park is celebrated for tucked-away village with canyon trails and strong neighborhood identity — this home delivers it all.",City View
SF263875,"2984 Kearny St, San Francisco, CA",1350000,4,4.0,1550,Single Family,Mid-Century Modern,North Beach,San Francisco Unified School District,Garfield Elementary,Marina Middle School,City Arts & Tech High School,"Welcome to this stunning Mid-Century Modern home nestled in the heart of North Beach. This bright and airy 4-bedroom, 4.0-bath residence offers 1,550 sq ft of thoughtfully designed living space soaking in city views. The updated kitchen with gas range and subway tile backsplash anchors the main floor, opening to a private rear garden. Original architectural details — including original fireplace mantel and picture rails — have been lovingly preserved. Bright and airy primary suite with spa bath. In-unit washer/dryer and EV-ready garage complete the package. Enjoy breathtaking city views from the living areas and primary suite. Steps from North Beach's acclaimed restaurants and transit.",City View
SF553350,"2327 Divisadero St, San Francisco, CA",1475000,0,1.0,1500,Condo,Art Deco,Marina,San Francisco Unified School District,Sherman Elementary,Presidio Middle School,Galileo High School,"Modern living in the vibrant Marina neighborhood. This sleek 0BD/1.0BA art deco condo (1,500 sq ft) features updated kitchen with gas range and subway tile backsplash, Bosch appliances, and a charming Juliet balcony. Naturally lit throughout with double-pane windows for sound insulation. Building features concierge, fitness center, and guest suite. In-unit laundry closet and EV-ready garage included. Enjoy breathtaking bay views from the living areas and primary suite.",Bay View
SF821273,"2768 Cesar Chavez St, San Francisco, CA",1900000,3,3.0,1350,Single Family,Modern Farmhouse,Bayview,San Francisco Unified School District,Martin Luther King Jr. Elementary,Hoover Middle School,Balboa High School,"Rare opportunity to own a meticulously restored Modern Farmhouse in Bayview. This 3-bed, 3.0-bath home (1,350 sq ft) balances period character with modern updates. The gourmet kitchen with waterfall island and wine refrigerator leads to a shared roof deck with panoramic views, ideal for entertaining. Upstairs, the bright and airy primary bedroom features vaulted ceilings. Original hardwood floors throughout. 2-car garage and dedicated laundry room. Enjoy breathtaking bay views from the living areas and primary suite. Bayview is celebrated for historically rich neighborhood undergoing revitalization with bay views — this home delivers it all.",Bay View
SF763762,"1136 King St, San Francisco, CA",875000,2,2.0,1150,Condo,High-Rise,SOMA,San Francisco Unified School District,Bessie Carmichael Elementary,Francisco Middle School,City Arts & Tech High School,"Welcome to unit #14C — a sun-soaked 2BD/2.0BA residence in one of SOMA's most desirable buildings. At 1,150 sq ft, this high-rise condo offers fully remodeled kitchen with custom cabinetry and quartz countertops, custom built-ins, and polished concrete floors. Amenities include a rooftop terrace and club room. In-unit laundry closet, 1-car garage. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF340723,"774 Ashbury St, San Francisco, CA",2375000,4,5.0,2850,Single Family,Spanish Colonial,Haight-Ashbury,San Francisco Unified School District,Clarendon Elementary,Aptos Middle School,Galileo High School,"Rare opportunity to own a meticulously restored Spanish Colonial in Haight-Ashbury. This 4-bed, 5.0-bath home (2,850 sq ft) balances period character with modern updates. The bright eat-in kitchen with breakfast nook and garden window leads to a private rear garden, ideal for entertaining. Upstairs, the sun-drenched primary bedroom features period windows. Original fir floors throughout. Ev-ready garage and dedicated laundry room. Haight-Ashbury is celebrated for eclectic Victorian neighborhood steps from Golden Gate Park — this home delivers it all.",None
SF709669,"1759 10th Ave #26C, San Francisco, CA",1800000,3,4.0,3100,Single Family,Spanish Colonial,Inner Richmond,San Francisco Unified School District,Lafayette Elementary,Presidio Middle School,Galileo High School,"Exceptional Spanish Colonial 3BD/4.0BA in coveted Inner Richmond. Spanning 3,100 sq ft, this bright and airy home features fully remodeled kitchen with custom cabinetry and quartz countertops, gleaming hardwood floors, and a wrap-around deck. The spacious primary suite offers a private deck and ensuite bath. Additional highlights: in-unit laundry closet, 2-car garage, formal dining room, and a cozy wood-burning fireplace. Situated on a quiet tree-lined block in Inner Richmond — diverse, quiet neighborhood with authentic dining and proximity to the park. Enjoy breathtaking garden views from the living areas and primary suite.",Garden View
SF642898,"976 Magellan Ave, San Francisco, CA",2800000,3,4.0,2050,Single Family,Tudor,Forest Hill,San Francisco Unified School District,West Portal Elementary,Hoover Middle School,George Washington High School,"Rare opportunity to own a meticulously restored Tudor in Forest Hill. This 3-bed, 4.0-bath home (2,050 sq ft) balances period character with modern updates. The gourmet kitchen with waterfall island and wine refrigerator leads to a charming Juliet balcony, ideal for entertaining. Upstairs, the bright and airy primary bedroom features an ensuite bath and walk-in closet. Original oak floors throughout. 2-car garage and dedicated laundry room. Enjoy breathtaking city views from the living areas and primary suite. Forest Hill is celebrated for serene, wooded enclave with large homes and a private community association — this home delivers it all.",City View
SF987240,"3626 Mission St, San Francisco, CA",1325000,3,3.5,4250,Multi Family,Spanish Colonial,Bernal Heights,San Francisco Unified School District,Esther Clark Elementary,James Lick Middle School,John O'Connell High School,"Investor special or perfect for multigenerational living — a fully updated Spanish Colonial duplex in sought-after Bernal Heights. 3 bedrooms and 3.5 baths across 4,250 sq ft. Both units feature in-unit laundry, updated kitchens, and separate meters. 2-car garage, separate utilities, and a shared rear garden. Trophy Bernal Heights address with strong cap rate potential. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF142812,"1817 Cesar Chavez St, San Francisco, CA",2150000,4,4.5,3400,Single Family,Tudor,Bayview,San Francisco Unified School District,Malcolm X Academy,Martin Luther King Jr. Middle School,Thurgood Marshall High School,"Welcome to this stunning Tudor home nestled in the heart of Bayview. This sun-soaked 4-bedroom, 4.5-bath residence offers 3,400 sq ft of thoughtfully designed living space soaking in city views. The gourmet kitchen with waterfall island and wine refrigerator anchors the main floor, opening to a charming Juliet balcony. Original architectural details — including coffered ceilings and built-ins — have been lovingly preserved. Sun-soaked primary suite with spa bath. Washer/dryer hookups and tandem garage complete the package. Enjoy breathtaking city views from the living areas and primary suite. Steps from Bayview's farmers market and boutiques.",City View
SF548814,"2266 Irving St, San Francisco, CA",1750000,3,4.0,2250,Single Family,Modern Farmhouse,Inner Sunset,San Francisco Unified School District,Clarendon Elementary,Aptos Middle School,Abraham Lincoln High School,"Welcome to this stunning Modern Farmhouse home nestled in the heart of Inner Sunset. This sun-soaked 3-bedroom, 4.0-bath residence offers 2,250 sq ft of thoughtfully designed living space soaking in park views. The bright eat-in kitchen with breakfast nook and garden window anchors the main floor, opening to a rooftop terrace. Original architectural details — including coffered ceilings and built-ins — have been lovingly preserved. Sun-soaked primary suite with spa bath. In-unit washer/dryer and 2-car garage complete the package. Enjoy breathtaking park views from the living areas and primary suite. Steps from Inner Sunset's top-rated schools and green spaces.",Park View
SF122366,"3979 California St #8, San Francisco, CA",1725000,4,5.0,3450,Multi Family,Victorian,Inner Richmond,San Francisco Unified School District,Lone Mountain Elementary,Presidio Middle School,George Washington High School,"Prime Inner Richmond triplex — a rare turnkey investment or owner-occupy opportunity. This Victorian building offers 4 total bedrooms, 5.0 baths, and 3,450 sq ft of living space. Each unit features period details, modern kitchens, and separate entrances. Building includes tandem garage and a private rear garden. Strong rental history in one of SF's most desirable neighborhoods. Enjoy breathtaking garden views from the living areas and primary suite.",Garden View
SF919737,"2913 Clarendon Ave, San Francisco, CA",2550000,2,3.0,2400,Single Family,Spanish Colonial,Twin Peaks,San Francisco Unified School District,Glen Park Elementary,James Lick Middle School,Abraham Lincoln High School,"Rare opportunity to own a meticulously restored Spanish Colonial in Twin Peaks. This 2-bed, 3.0-bath home (2,400 sq ft) balances period character with modern updates. The updated kitchen with gas range and subway tile backsplash leads to a rooftop terrace, ideal for entertaining. Upstairs, the luminous primary bedroom features vaulted ceilings. Original oak floors throughout. 1-car parking and dedicated laundry room. Enjoy breathtaking bay views from the living areas and primary suite. Twin Peaks is celebrated for hilltop retreat with 360-degree panoramic views of the entire city — this home delivers it all.",Bay View
SF539146,"229 Waller St, San Francisco, CA",850000,2,3.0,1600,Townhouse,Craftsman,Lower Haight,San Francisco Unified School District,John Muir Elementary,Presidio Middle School,Galileo High School,"Exceptional end-unit Craftsman townhouse in the heart of Lower Haight. 2 bedrooms, 3.0 baths, 1,600 sq ft. Designed for modern living with gourmet kitchen with waterfall island and wine refrigerator, open-plan great room, and a wrap-around deck. Generous primary suite with spa bath and walk-in closet. Tandem garage, in-unit washer/dryer, smart home features throughout. Walk to Lower Haight's acclaimed boutiques, cafés, and transit.",None
SF921930,"3527 Sanchez St #25A, San Francisco, CA",1650000,1,1.5,1500,Condo,Mid-Century Modern,Duboce Triangle,San Francisco Unified School District,Sanchez Elementary,James Lick Middle School,Abraham Lincoln High School,"Modern living in the vibrant Duboce Triangle neighborhood. This sleek 1BD/1.5BA mid-century modern condo (1,500 sq ft) features gourmet kitchen with waterfall island and wine refrigerator, Bosch appliances, and a wrap-around deck. Sun-soaked throughout with skylights in the primary bath. Building features concierge, fitness center, and guest suite. In-unit laundry closet and tandem garage included. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF398868,"2828 Precita Ave, San Francisco, CA",1500000,4,5.0,2000,Townhouse,Edwardian,Bernal Heights,San Francisco Unified School District,Esther Clark Elementary,James Lick Middle School,Mission High School,"Exceptional end-unit Edwardian townhouse in the heart of Bernal Heights. 4 bedrooms, 5.0 baths, 2,000 sq ft. Designed for modern living with fully remodeled kitchen with custom cabinetry and quartz countertops, open-plan great room, and a rooftop terrace. Generous primary suite with ensuite bath and custom built-ins. Deeded parking, dedicated laundry room, smart home features throughout. Enjoy breathtaking city views from the living areas and primary suite. Walk to Bernal Heights's acclaimed restaurants, parks, and Muni.",City View
SF516600,"1141 Dolores St #30, San Francisco, CA",1225000,1,1.5,700,Condo,Modern,Mission District,San Francisco Unified School District,Fairmount Elementary,Everett Middle School,John O'Connell High School,"Welcome to unit #8C — a bright and airy 1BD/1.5BA residence in one of Mission District's most desirable buildings. At 700 sq ft, this modern condo offers updated kitchen with gas range and subway tile backsplash, custom built-ins, and heated tile floors. Amenities include bike storage and package room. Dedicated laundry room, 1-car parking.",None
SF896007,"3740 Andover St #16B, San Francisco, CA",1350000,3,3.0,3150,Single Family,Mid-Century Modern,Bernal Heights,San Francisco Unified School District,Esther Clark Elementary,Everett Middle School,John O'Connell High School,"Welcome to this stunning Mid-Century Modern home nestled in the heart of Bernal Heights. This sun-drenched 3-bedroom, 3.0-bath residence offers 3,150 sq ft of thoughtfully designed living space soaking in bay views. The designer kitchen with integrated appliances and pantry anchors the main floor, opening to an expansive yard. Original architectural details — including bay windows and wainscoting — have been lovingly preserved. Sun-drenched primary suite with spa bath. In-unit laundry closet and 2-car garage complete the package. Enjoy breathtaking bay views from the living areas and primary suite. Steps from Bernal Heights's best cafés and parks.",Bay View
SF145833,"2786 10th Ave, San Francisco, CA",950000,0,1.0,1700,Condo,Victorian,Inner Richmond,San Francisco Unified School District,Lone Mountain Elementary,Roosevelt Middle School,Galileo High School,"Sophisticated 0BD/1.0BA victorian condo in the heart of Inner Richmond. This luminous 1,700 sq ft residence features fully remodeled kitchen with custom cabinetry and quartz countertops, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers an ensuite bath with heated floors. In-unit washer/dryer, deeded parking, and a private rear garden round out this exceptional offering. Enjoy breathtaking city views from the living areas and primary suite. Walk to Inner Richmond's best dining and boutiques.",City View
SF670087,"1206 Burnett Ave, San Francisco, CA",1500000,1,1.5,850,Condo,Modern,Twin Peaks,San Francisco Unified School District,Glen Park Elementary,James Lick Middle School,Mission High School,"Welcome to unit #12A — a luminous 1BD/1.5BA residence in one of Twin Peaks's most desirable buildings. At 850 sq ft, this modern condo offers gourmet kitchen with waterfall island and wine refrigerator, custom built-ins, and heated tile floors. Amenities include bike storage and package room. Washer/dryer hookups, 1-car garage. Enjoy breathtaking twin peaks views from the living areas and primary suite.",Twin Peaks View
SF955058,"1662 4th St #5A, San Francisco, CA",850000,1,1.0,1100,Condo,Edwardian,SOMA,San Francisco Unified School District,Bessie Carmichael Elementary,Hoover Middle School,Galileo High School,"Modern living in the vibrant SOMA neighborhood. This sleek 1BD/1.0BA edwardian condo (1,100 sq ft) features updated kitchen with gas range and subway tile backsplash, Bosch appliances, and an expansive yard. Sun-soaked throughout with skylights in the primary bath. Building features gym, rooftop, and storage. In-unit laundry closet and 1-car parking included. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF911113,"1704 Sanchez St, San Francisco, CA",1000000,2,3.0,600,Condo,Loft,Castro,San Francisco Unified School District,Sanchez Elementary,Everett Middle School,Mission High School,"Welcome to unit #18D — a naturally lit 2BD/3.0BA residence in one of Castro's most desirable buildings. At 600 sq ft, this loft condo offers updated kitchen with gas range and subway tile backsplash, custom built-ins, and wide-plank white oak floors. Amenities include a rooftop lounge. Dedicated laundry room, 1-car garage.",None
SF770194,"159 32nd Ave, San Francisco, CA",675000,1,1.5,900,Condo,Victorian,Outer Sunset,San Francisco Unified School District,Sunset Elementary,Hoover Middle School,Abraham Lincoln High School,"Sophisticated 1BD/1.5BA victorian condo in the heart of Outer Sunset. This sun-drenched 900 sq ft residence features fully remodeled kitchen with custom cabinetry and quartz countertops, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers a walk-in closet and ensuite bath. In-unit washer/dryer, tandem garage, and a landscaped patio round out this exceptional offering. Walk to Outer Sunset's parks, cafés, and transit.",None
SF943544,"3610 Vallejo St, San Francisco, CA",1075000,2,2.0,950,Condo,Edwardian,North Beach,San Francisco Unified School District,Jean Parker Elementary,Marina Middle School,Galileo High School,"Sophisticated 2BD/2.0BA edwardian condo in the heart of North Beach. This sun-soaked 950 sq ft residence features bright eat-in kitchen with breakfast nook and garden window, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers a spa-inspired bath with dual vanity. In-unit laundry closet, 2-car garage, and a rooftop terrace round out this exceptional offering. Enjoy breathtaking city views from the living areas and primary suite. Walk to North Beach's best dining and boutiques.",City View
SF654429,"1492 4th St, San Francisco, CA",1100000,3,4.0,1050,Condo,High-Rise,SOMA,San Francisco Unified School District,Bessie Carmichael Elementary,Hoover Middle School,Galileo High School,"Modern living in the vibrant SOMA neighborhood. This sleek 3BD/4.0BA high-rise condo (1,050 sq ft) features updated kitchen with gas range and subway tile backsplash, Bosch appliances, and a rooftop terrace. Sun-drenched throughout with double-pane windows for sound insulation. Building features secure entry, elevator, and bike room. In-unit laundry closet and EV-ready garage included. Enjoy breathtaking bay views from the living areas and primary suite.",Bay View
SF577914,"989 Cesar Chavez St, San Francisco, CA",800000,3,3.5,700,Condo,Mid-Century Modern,Mission District,San Francisco Unified School District,Fairmount Elementary,James Lick Middle School,Mission High School,"Welcome to unit #9B — a light-filled 3BD/3.5BA residence in one of Mission District's most desirable buildings. At 700 sq ft, this mid-century modern condo offers gourmet kitchen with waterfall island and wine refrigerator, custom built-ins, and heated tile floors. Amenities include a rooftop lounge. Dedicated laundry room, 1-car parking.",None
SF257067,"3071 Silliman St #15B, San Francisco, CA",2200000,2,2.5,2850,Single Family,Craftsman,Portola,San Francisco Unified School District,James Denman Middle,Aptos Middle School,John O'Connell High School,"Exceptional Craftsman 2BD/2.5BA in coveted Portola. Spanning 2,850 sq ft, this naturally lit home features chef's kitchen with Carrara marble countertops and stainless appliances, gleaming hardwood floors, and a wrap-around deck. The spacious primary suite offers a walk-in closet and spa-inspired bath. Additional highlights: in-unit laundry closet, 1-car parking, formal dining room, and a cozy wood-burning fireplace. Situated on a quiet tree-lined block in Portola — quiet residential neighborhood with a growing arts scene and local charm.",None
SF655457,"239 Henry St, San Francisco, CA",1575000,0,1.0,1150,Condo,Edwardian,Duboce Triangle,San Francisco Unified School District,Harvey Milk Civil Rights Academy,Everett Middle School,Mission High School,"Sophisticated 0BD/1.0BA edwardian condo in the heart of Duboce Triangle. This bright and airy 1,150 sq ft residence features chef's kitchen with Carrara marble countertops and stainless appliances, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers a walk-in closet and ensuite bath. Washer/dryer hookups, EV-ready garage, and a shared roof deck with panoramic views round out this exceptional offering. Enjoy breathtaking park views from the living areas and primary suite. Walk to Duboce Triangle's parks, cafés, and transit.",Park View
SF916901,"3183 6th Ave, San Francisco, CA",1150000,2,2.0,850,Condo,Contemporary,Inner Richmond,San Francisco Unified School District,Argonne Elementary,Presidio Middle School,Galileo High School,"Welcome to unit #5D — a luminous 2BD/2.0BA residence in one of Inner Richmond's most desirable buildings. At 850 sq ft, this contemporary condo offers gourmet kitchen with waterfall island and wine refrigerator, custom built-ins, and engineered hardwood floors. Amenities include a fitness center and concierge. Dedicated laundry room, 1-car garage.",None
SF164474,"3690 Panorama Dr, San Francisco, CA",1000000,1,2.0,1700,Condo,Art Deco,Twin Peaks,San Francisco Unified School District,Glen Park Elementary,Aptos Middle School,Mission High School,"Modern living in the vibrant Twin Peaks neighborhood. This sleek 1BD/2.0BA art deco condo (1,700 sq ft) features gourmet kitchen with waterfall island and wine refrigerator, Bosch appliances, and a charming Juliet balcony. Sun-soaked throughout with double-pane windows for sound insulation. Building features concierge, fitness center, and guest suite. In-unit washer/dryer and EV-ready garage included. Enjoy breathtaking twin peaks views from the living areas and primary suite.",Twin Peaks View
SF177213,"2476 Divisadero St, San Francisco, CA",1975000,3,4.0,3250,Single Family,Spanish Colonial,Pacific Heights,San Francisco Unified School District,Sherman Elementary,Presidio Middle School,George Washington High School,"Rare opportunity to own a meticulously restored Spanish Colonial in Pacific Heights. This 3-bed, 4.0-bath home (3,250 sq ft) balances period character with modern updates. The updated kitchen with gas range and subway tile backsplash leads to a landscaped patio, ideal for entertaining. Upstairs, the luminous primary bedroom features an ensuite bath and walk-in closet. Original hardwood floors throughout. Tandem garage and washer/dryer hookups. Enjoy breathtaking city views from the living areas and primary suite. Pacific Heights is celebrated for prestigious neighborhood with grand Victorians and sweeping bay views — this home delivers it all.",City View
SF958548,"3364 Innes Ave, San Francisco, CA",900000,3,3.0,1750,Condo,Contemporary,Bayview,San Francisco Unified School District,Martin Luther King Jr. Elementary,Martin Luther King Jr. Middle School,Thurgood Marshall High School,"Welcome to unit #8B — a naturally lit 3BD/3.0BA residence in one of Bayview's most desirable buildings. At 1,750 sq ft, this contemporary condo offers gourmet kitchen with waterfall island and wine refrigerator, custom built-ins, and heated tile floors. Amenities include bike storage and package room. In-unit washer/dryer, 1-car garage. Enjoy breathtaking bay views from the living areas and primary suite.",Bay View
SF923021,"1589 Waller St, San Francisco, CA",875000,2,3.0,1400,Condo,Victorian,Duboce Triangle,San Francisco Unified School District,Sanchez Elementary,James Lick Middle School,Abraham Lincoln High School,"Modern living in the vibrant Duboce Triangle neighborhood. This sleek 2BD/3.0BA victorian condo (1,400 sq ft) features chef's kitchen with Carrara marble countertops and stainless appliances, Bosch appliances, and an expansive yard. Sun-soaked throughout with oversized windows flooding rooms with natural light. Building features secure entry, elevator, and bike room. In-unit laundry closet and tandem garage included.",None
SF920443,"443 Cesar Chavez St, San Francisco, CA",1100000,3,3.5,1000,Townhouse,Victorian,Bayview,San Francisco Unified School District,Martin Luther King Jr. Elementary,Hoover Middle School,Thurgood Marshall High School,"Exceptional end-unit Victorian townhouse in the heart of Bayview. 3 bedrooms, 3.5 baths, 1,000 sq ft. Designed for modern living with designer kitchen with integrated appliances and pantry, open-plan great room, and a sunny deck. Generous primary suite with dual vanity bath and closet. Tandem garage, washer/dryer hookups, smart home features throughout. Enjoy breathtaking city views from the living areas and primary suite. Walk to Bayview's acclaimed restaurants, parks, and Muni.",City View
SF251619,"1754 Clayton St, San Francisco, CA",1625000,4,5.0,1050,Townhouse,Contemporary,Haight-Ashbury,San Francisco Unified School District,Clarendon Elementary,Aptos Middle School,Abraham Lincoln High School,"Stunning 4BD/5.0BA Contemporary townhouse in Haight-Ashbury — the best of both worlds: the space of a home with the ease of condo living. Spanning 1,050 sq ft across four levels, this naturally lit residence features designer kitchen with integrated appliances and pantry, a private rooftop deck, and 1-car parking. Open living/dining on the main level flows to a sunny deck. The primary suite occupies its own floor with a soaking tub and dual walk-in closets. In-unit laundry closet on bedroom level.",None
SF445426,"2776 Divisadero St #18C, San Francisco, CA",1675000,3,4.0,1000,Townhouse,Victorian,Pacific Heights,San Francisco Unified School District,Argonne Elementary,Presidio Middle School,Galileo High School,"Stunning 3BD/4.0BA Victorian townhouse in Pacific Heights — the best of both worlds: the space of a home with the ease of condo living. Spanning 1,000 sq ft across three levels, this bright and airy residence features gourmet kitchen with waterfall island and wine refrigerator, a private rooftop deck, and 2-car garage. Open living/dining on the main level flows to a rooftop terrace. The primary suite occupies its own floor with a soaking tub and dual walk-in closets. Washer/dryer hookups on bedroom level. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF431628,"3471 Waller St, San Francisco, CA",1525000,2,3.0,1450,Condo,High-Rise,Haight-Ashbury,San Francisco Unified School District,Grattan Elementary,Presidio Middle School,Abraham Lincoln High School,"Welcome to unit #13A — a luminous 2BD/3.0BA residence in one of Haight-Ashbury's most desirable buildings. At 1,450 sq ft, this high-rise condo offers fully remodeled kitchen with custom cabinetry and quartz countertops, custom built-ins, and polished concrete floors. Amenities include bike storage and package room. Dedicated laundry room, EV-ready garage. Enjoy breathtaking garden views from the living areas and primary suite.",Garden View
SF537995,"2204 Jones St, San Francisco, CA",900000,1,1.0,1650,Condo,Victorian,Nob Hill,San Francisco Unified School District,Spring Valley Elementary,Marina Middle School,Galileo High School,"Modern living in the vibrant Nob Hill neighborhood. This sleek 1BD/1.0BA victorian condo (1,650 sq ft) features fully remodeled kitchen with custom cabinetry and quartz countertops, Bosch appliances, and a landscaped patio. Bright and airy throughout with oversized windows flooding rooms with natural light. Building features gym, rooftop, and storage. Dedicated laundry room and deeded parking included. Enjoy breathtaking bay views from the living areas and primary suite.",Bay View
SF219143,"1846 Connecticut St, San Francisco, CA",1075000,3,4.0,1650,Condo,Art Deco,Potrero Hill,San Francisco Unified School District,Bryant Elementary,Hoover Middle School,John O'Connell High School,"Modern living in the vibrant Potrero Hill neighborhood. This sleek 3BD/4.0BA art deco condo (1,650 sq ft) features bright eat-in kitchen with breakfast nook and garden window, Bosch appliances, and a charming Juliet balcony. Sun-drenched throughout with oversized windows flooding rooms with natural light. Building features gym, rooftop, and storage. In-unit laundry closet and 1-car garage included. Enjoy breathtaking bay views from the living areas and primary suite.",Bay View
